type	value	source	score	tags
ip	1.0.7.0	Boletines	50	malware_ip
ip	1.161.101.20	Boletines	50	malware_ip
ip	1.161.123.45	Boletines	50	malware_ip
ip	1.161.70.129	Boletines	50	malware_ip
ip	1.161.72.70	Boletines	50	malware_ip
ip	1.179.156.115	Boletines	50	malware_ip
ip	1.190.48.156	Boletines	50	malware_ip
ip	1.192.94.61	Boletines	50	malware_ip
ip	1.23.82.72	Boletines	50	malware_ip
ip	1.246.42.251	Boletines	50	malware_ip
ip	1.246.42.252	Boletines	50	malware_ip
ip	1.52.35.52	Boletines	50	malware_ip
ip	1.57.114.95	Boletines	50	malware_ip
ip	1.62.172.173	Maltiverse	60	malware_ip
ip	1.69.20.77	Maltiverse	60	malware_ip
ip	1.69.60.242	Maltiverse	60	malware_ip
ip	1.70.138.64	Maltiverse	60	malware_ip
ip	1.70.140.141	Maltiverse	60	malware_ip
ip	1.70.15.134	Maltiverse	60	malware_ip
ip	100.16.107.117	Boletines	50	malware_ip
ip	100.35.142.37	Boletines	50	malware_ip
ip	100.6.8.7	Boletines	50	malware_ip
ip	101.0.76.160	Boletines	50	malware_ip
ip	101.0.76.6	Boletines	50	malware_ip
ip	101.108.130.80	Maltiverse	60	malware_ip
ip	101.108.199.194	Boletines	50	malware_ip
ip	101.108.4.251	Boletines	50	malware_ip
ip	101.109.126.182	Maltiverse	60	malware_ip
ip	101.167.152.76	Boletines	50	malware_ip
ip	101.167.152.90	Boletines	50	malware_ip
ip	101.226.255.173	Boletines	50	malware_ip
ip	101.32.36.76	Boletines	50	malware_ip
ip	101.36.102.34	Boletines	50	malware_ip
ip	101.36.102.93	Boletines	50	malware_ip
ip	101.36.114.167	Boletines	50	malware_ip
ip	101.36.123.191	Boletines	50	malware_ip
ip	101.50.120.124	Boletines	50	malware_ip
ip	101.50.67.7	Boletines	50	malware_ip
ip	101.53.136.36	Boletines	50	malware_ip
ip	101.65.35.100	Maltiverse	60	malware_ip
ip	102.130.114.246	Boletines	50	malware_ip
ip	102.156.113.77	Boletines	50	malware_ip
ip	102.157.69.217	Boletines	50	malware_ip
ip	102.157.73.215	Boletines	50	malware_ip
ip	102.158.230.141	Boletines	50	malware_ip
ip	102.158.245.248	Boletines	50	malware_ip
ip	102.159.188.241	Boletines	50	malware_ip
ip	102.164.208.48	Boletines	50	malware_ip
ip	102.182.232.3	Boletines	50	malware_ip
ip	102.33.102.88	Maltiverse	60	malware_ip
ip	102.33.109.112	Maltiverse	60	malware_ip
ip	102.33.12.245	Maltiverse	60	malware_ip
ip	102.33.168.160	Maltiverse	60	malware_ip
ip	102.33.41.107	Maltiverse	60	malware_ip
ip	102.33.41.234	Maltiverse	60	malware_ip
ip	102.33.98.7	Maltiverse	60	malware_ip
ip	102.36.133.198	Maltiverse	60	malware_ip
ip	102.40.236.32	Boletines	50	malware_ip
ip	102.65.17.55	Boletines	50	malware_ip
ip	102.65.38.88	Boletines	50	malware_ip
ip	1.02182E+11	Boletines	50	malware_ip
ip	103.107.188.193	Boletines	50	malware_ip
ip	103.107.188.36	Boletines	50	malware_ip
ip	103.107.189.10	Boletines	50	malware_ip
ip	103.107.191.47	Boletines	50	malware_ip
ip	103.108.142.92	Boletines	50	malware_ip
ip	103.109.101.137	Boletines	50	malware_ip
ip	103.116.16.4	Boletines	50	malware_ip
ip	103.116.178.90	Boletines	50	malware_ip
ip	103.116.47.65	Boletines	50	malware_ip
ip	103.120.82.243	Boletines	50	malware_ip
ip	103.122.33.58	Boletines	50	malware_ip
ip	103.123.134.139	Boletines	50	malware_ip
ip	103.123.134.145	Boletines	50	malware_ip
ip	103.123.134.161	Boletines	50	malware_ip
ip	103.123.134.165	Boletines	50	malware_ip
ip	103.123.134.240	Boletines	50	malware_ip
ip	103.124.92.73	Boletines	50	malware_ip
ip	103.125.190.248	Boletines	50	malware_ip
ip	103.132.242.26	Boletines	50	malware_ip
ip	103.133.139.23	Boletines	50	malware_ip
ip	103.133.139.29	Boletines	50	malware_ip
ip	103.137.185.249	Boletines	50	malware_ip
ip	103.138.108.15	Boletines	50	malware_ip
ip	103.138.82.202	Boletines	50	malware_ip
ip	103.138.82.215	Boletines	50	malware_ip
ip	103.139.2.93	Boletines	50	malware_ip
ip	103.140.250.132	Boletines	50	malware_ip
ip	103.141.50.117	Boletines	50	malware_ip
ip	103.143.73.116	Boletines	50	malware_ip
ip	103.144.139.159	Boletines	50	malware_ip
ip	103.147.184.73	Boletines	50	malware_ip
ip	103.147.185.192	Boletines	50	malware_ip
ip	103.150.180.49	Boletines	50	malware_ip
ip	103.150.68.124	Boletines	50	malware_ip
ip	103.151.229.130	Boletines	50	malware_ip
ip	103.151.229.139	Boletines	50	malware_ip
ip	103.151.229.35	Boletines	50	malware_ip
ip	103.151.229.74	Boletines	50	malware_ip
ip	103.158.97.141	Maltiverse	60	malware_ip
ip	103.159.132.70	Boletines	50	malware_ip
ip	103.159.132.91	Boletines	50	malware_ip
ip	103.167.175.164	Maltiverse	60	malware_ip
ip	103.167.92.57	Boletines	50	malware_ip
ip	103.169.90.132	Boletines	50	malware_ip
ip	103.169.91.93	Boletines	50	malware_ip
ip	103.169.91.94	Boletines	50	malware_ip
ip	103.170.132.199	Boletines	50	malware_ip
ip	103.173.121.17	Boletines	50	malware_ip
ip	103.173.211.175	Maltiverse	60	malware_ip
