ioc	iocType	response	mail	origin	Requester	info	confidence	risk
1.10.16.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
1.19.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
1.32.128.0/18	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
101.134.0.0/15	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
101.203.128.0/19	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
101.248.0.0/15	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
101.99.92.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
101.99.95.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
102.211.56.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
102.240.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.1.43.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.104.0.0/21	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.105.240.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.107.20.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.109.107.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.110.104.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.113.144.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.116.44.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.116.60.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.12.220.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.13.140.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.130.147.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.135.207.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.140.44.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.146.208.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.148.42.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.153.254.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.157.75.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.167.40.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.171.236.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.174.130.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.175.229.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.179.148.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.186.116.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.19.116.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.19.188.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.192.228.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.193.184.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.195.144.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.196.11.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.198.26.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.199.88.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.20.72.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.214.56.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.215.80.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.228.196.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.228.60.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.229.124.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.23.12.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.23.124.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.23.8.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.230.144.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.230.24.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.232.200.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.232.36.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.236.32.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.237.86.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.240.252.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.242.4.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.243.240.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.248.68.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.249.72.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.25.88.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.250.172.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.253.216.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.254.108.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.28.90.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.29.120.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.3.212.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.30.12.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.32.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.32.132.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.34.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.36.64.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.4.248.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.4.32.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.43.140.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.44.208.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.48.36.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.5.116.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.52.48.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.55.84.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.56.144.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.58.68.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.6.36.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.61.92.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.7.198.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.75.36.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.76.255.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.80.132.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.81.230.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.81.44.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.83.18.0/23	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.95.180.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
103.97.2.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
104.193.228.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
104.244.56.0/21	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
104.245.240.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
106.95.0.0/16	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
107.155.224.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
107.182.240.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
109.107.146.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
110.44.104.0/22	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
110.44.144.0/20	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
110.48.192.0/18	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
111.201.210.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
111.223.192.0/19	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
111.90.156.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
111.90.157.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
112.90.143.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
113.212.128.0/19	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
113.26.202.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
113.89.186.0/24	ip	none	none	Spamhaus	Minemeld	spam_ip	100	50
